lon	lat
-47.929699	-15.7797
-47.9297223	-15.7797223
-47.9294	-15.7797
-47.509998	-14.1325
-47.929699	-15.7797
-47.5247223	-14.7055556
-47.9294	-15.7797
-47.929699	-15.7797
-47.929699	-15.7797
-47.9305556	-15.6672223
-47.929699	-15.7797
-47.6847222	-14.2091667
-47.8852777	-15.9447222
-47.929699	-15.7797
-47.9686111	-15.7244445
-47.977777	-15.66
-47.9294	-15.7797
-47.929699	-15.7797
-47.923333	-15.690555
-47.9686111	-15.7244445
-47.9686111	-15.7244445
-47.906069	-15.705581
-47.9294	-15.7797
-47.929699	-15.7797
